k,group,method,users,mse,mae,pair_accuracy,pair_users,unique_movies,unique_rating_pairs,round_rating_instances
0,WITHHELD,RIDGE,286,1.0001218376107919,0.7641699155771043,0.5540915202484048,259,2892,9747,16603
1,2000_2009,ALS,277,1.7805669081633833,1.064201230736135,0.5440469787946366,242,2615,9165,15235
1,2000_2009,ALS_FM,277,1.0497372282868938,0.7834407937846175,0.5851841524195937,242,2615,9165,15235
1,2000_2009,FM,277,1.072463476282183,0.7851749741474915,0.5830580212628472,242,2615,9165,15235
1,2000_2009,GBT,277,1.0374937197435516,0.7652925509403025,0.5762086437005878,242,2615,9165,15235
1,2000_2009,RIDGE,277,1.0842283880709322,0.7973348754704582,0.5859917764867508,242,2615,9165,15235
1,2010_2018,ALS,291,1.767529095148914,1.0260591052912482,0.5136895706410688,267,4291,16239,27261
1,2010_2018,ALS_FM,291,1.119685454766615,0.8188330701893188,0.5626238232006419,267,4291,16239,27261
1,2010_2018,FM,291,1.1075849852134003,0.806410241179637,0.565887149841158,267,4291,16239,27261
1,2010_2018,GBT,291,1.0219502770297961,0.7579957159358871,0.5559036696460673,267,4291,16239,27261
1,2010_2018,RIDGE,291,1.0399538254699232,0.7699654531000042,0.5629172021061711,267,4291,16239,27261
1,2019_PLUS,ALS,247,0.9594904426588345,0.7500576054263838,0.49980502729617854,211,2440,10680,18622
1,2019_PLUS,ALS_FM,247,1.0576142174152985,0.8020638602319559,0.5809087417342712,211,2440,10680,18622
1,2019_PLUS,FM,247,1.0574369738508709,0.8019800819586151,0.5811787039395625,211,2440,10680,18622
1,2019_PLUS,GBT,247,0.9463662281283222,0.7369873420396714,0.5622055251597593,211,2440,10680,18622
1,2019_PLUS,RIDGE,247,0.9819382074697888,0.7603542639559433,0.5772217041991281,211,2440,10680,18622
1,ALL,ALS,300,1.7144792564989275,1.018919672164493,0.5199208818792272,294,14533,48326,82095
1,ALL,ALS_FM,300,1.0747011046038504,0.8051992470945468,0.5679912885400314,294,14533,48326,82095
1,ALL,FM,300,1.0556845355791038,0.7874796224780328,0.5623391099780636,294,14533,48326,82095
1,ALL,GBT,300,0.9819370311462999,0.7480406637144564,0.5654406006916249,294,14533,48326,82095
1,ALL,RIDGE,300,1.0156130130674297,0.7697334560442931,0.5681358888340142,294,14533,48326,82095
1,ALS_DIRECT,ALS,199,2.859863096003245,1.4432038388495856,0.5706922470502763,191,4462,15893,24881
1,ALS_DIRECT,ALS_FM,199,1.0240734788964572,0.7936968429768058,0.5911061141371182,191,4462,15893,24881
